"Product ID";Image;Name;Reference;Category;"Base price";"Final price";Quantity;Status;Position
27;http://www.comparateurs.itancia.com/35/vvx501-skype-for-business.jpg;"VVX501 (Skype For Business)";A128244;"Comparateur de postes";358.000000;358;0;1;
26;http://www.comparateurs.itancia.com/34/vvx411-skype-for-business.jpg;"VVX411 (Skype For Business)";A128503;"Comparateur de postes";285.000000;285;0;1;
25;http://www.comparateurs.itancia.com/33/vvx401-skype-for-business.jpg;"VVX401 (Skype For Business)";A131916;"Comparateur de postes";249.000000;249;0;1;
24;http://www.comparateurs.itancia.com/32/cx600-ipphone.jpg;CX600-IPPhone;;"Comparateur de postes";0.000000;0;0;1;
23;http://www.comparateurs.itancia.com/31/vvx311-skype-for-business.jpg;"VVX311 (Skype For Business)";A128501;"Comparateur de postes";213.000000;213;0;1;
22;http://www.comparateurs.itancia.com/30/vvx301-skype-for-business.jpg;"VVX301 (Skype For Business)";A128243;"Comparateur de postes";176.000000;176;0;1;
21;http://www.comparateurs.itancia.com/29/cx500-ipphone.jpg;CX500-IPPhone;A083335;"Comparateur de postes";0.000000;0;0;1;
20;http://www.comparateurs.itancia.com/28/cx300-r2.jpg;CX300-R2;A114531;"Comparateur de postes";0.000000;0;0;1;
19;http://www.comparateurs.itancia.com/27/vvx201-skype-for-business.jpg;"VVX201 (Skype For Business)";A123405;"Comparateur de postes";138.000000;138;0;1;
18;http://www.comparateurs.itancia.com/26/vvx101.jpg;VVX101;A119630;"Comparateur de postes";99.000000;99;0;1;
